term_taxonomy_id,term_id,taxonomy,description,parent,count
1,1,category,"",0,0
2,2,product_type,"",0,0
3,3,product_type,"",0,0
4,4,product_type,"",0,0
5,5,product_type,"",0,0
6,6,product_visibility,"",0,0
7,7,product_visibility,"",0,0
8,8,product_visibility,"",0,0
9,9,product_visibility,"",0,0
10,10,product_visibility,"",0,0
11,11,product_visibility,"",0,0
12,12,product_visibility,"",0,0
13,13,product_visibility,"",0,0
14,14,product_visibility,"",0,0
15,15,product_cat,"",0,0
16,16,wp_theme,"",0,1
17,17,product_cat,"",0,0
18,18,product_cat,"",0,0
19,19,product_cat,"",0,0
20,20,product_cat,"",0,0
21,21,product_cat,"",17,0
22,22,product_cat,"",17,0
23,23,product_cat,"",17,0
24,24,product_cat,"",17,0
25,25,product_cat,"",17,0
26,26,product_tag,"",0,0
27,27,category,"",0,0
28,28,category,"",0,0
29,29,category,"",0,0
30,30,wp_theme,"",0,2
